Nama,Komentar,Waktu,Likes,Reply Count
@abdulrohim-rz8pm,"mak nya hindari perdebatan

smua punya kekurangan dan kelebihan",2024-01-08T05:47:55Z,0,0
@dhanidegiel6478,Saya melihat kemenangan ada di pak prabowo di 2024,2024-01-08T05:47:00Z,16,1
@tyashermawan4459,"Kemenangan curang,dilihat dari putusan MK aja keliatan",2024-01-09T13:02:36Z,0,
@michaeldino4649,Wan abud anis udh g jualan jamu ta,2024-01-08T05:44:56Z,0,0
@arfiandewi8325,Pak ganjar keren 👍,2024-01-08T05:44:45Z,1,0
@mbakning1374,"Gk butuh omong omong doang, 
Kami butuh kerja nyata,",2024-01-08T05:43:46Z,1,0
@JavestRiviera-dz9rn,Bagian yg anies nilai mentri pertahanan di bawah 5 itu mana ya? Menit berapa kalau ada di video ini,2024-01-08T05:42:00Z,0,0
@WongBatangBosQu97,Waktunya Prabowo presiden,2024-01-08T05:38:20Z,0,0
@misterhf2303,"Prabowo: kalah telak dalam debat karna dia masih mentri saat ini
Ganjar : main aman normatif banget
Anis : menguasai acara ini full.. gagasan nya juga dapet tinggal pembuktian nya aja klo dia emang nti menang baru bisa tau gmn nya",2024-01-08T05:37:32Z,4,0
@Ali_Alf,"Manis dan santun ucapan anis ,ibarat pisau bermata 2 ..",2024-01-08T05:29:03Z,1,2
@Web3-ud9fi,Calon presiden ko bgitu 😅,2024-01-08T06:28:55Z,0,
@agrifinacikuita7783,@@Web3-ud9fiPresiden angin 😢,2024-01-08T08:43:43Z,0,
@lutfiazahara1076,kata org jaman dlu klo tai laletnya ada di deket bagian mulut orgnya pinter ngmng tpi sedikit aksinya 🤣paham lah siapa🤭,2024-01-08T05:26:51Z,3,0
@mayanr9397,Pak anis manis bngt ngomongnya,2024-01-08T05:26:31Z,2,0
@user-ix8px8lw5r,Rohingya Bebas masuk pak,2024-01-08T05:19:04Z,0,0
@user-mh8ku2jq5y,Terimakasih pak Prabowo,2024-01-08T05:16:22Z,2,0
@ronskalit8384,Anis guru bahasa Indonesia - expert di pelajaran mengarang.,2024-01-08T05:16:13Z,44,2
@elsajulianti2154,03 emng engga gt?,2024-01-08T12:00:31Z,0,
@tyashermawan4459,"Terus prabowo siswa yg sering bolos,jadinya tau sendiri kek gitu wkwkw",2024-01-09T12:56:18Z,2,
@RehansaputraSaputra-xj9hm,Saya sepenuhnya dukung Prabowo tapi pengen liat nyoba sia anies yg jadi presiden kasih waktu dia jadi presiden bisa apa dan coba lihat kinerja nya sesuai nggk sama mulutnya penasaran,2024-01-08T05:14:26Z,0,1
@dhpxxi,Trial?  Ahhah😂,2024-01-08T13:36:05Z,0,
@LUCKY-qt1kl,Kok jd takut ya kalo 01 jd presiden,2024-01-08T05:12:44Z,1,0
@sitato904,Anis kayaknya di keroyok,2024-01-08T05:02:14Z,0,0
@iamkingb9969,"Negara selatan yg berhasil dalam hal korupsinya 😂, sama jual hukum si sambo gajadi mati anjay",2024-01-08T05:00:06Z,0,0
@SriSabarti-lp6xy,"Duh pak anis...pak anis... 🤣🤣memang pinter bgt omong 👍👍
tp belum tentu pelaksanaanya mewujudkan nya banti bagaimana. krn  memang bicara tak semudah membalikkan telapak tangan. okay mohon dipahami semuanya 🙏",2024-01-08T04:58:32Z,2,0
@megafitriana8774,"Maaf ya 
Pak Ganjar kaya lgi jdi dosen ngasih materi
Pak anis sellu menjatuhkan
Pak Prabowo reslistis di kehidupan yg nyata 
Jngn sling menjatuhkan hanya untuk pribadi sendri, kalihatan pemimpin yg tidak pintar",2024-01-08T04:51:31Z,14,3
@Web3-ud9fi,"Betul bnget..  Sma kaya komentatornya 
Menjatuhkan lawan dan menyerang 
Pdhal bisa Focus aja sma tujuan mereka 
Ngpain nyenggool nynggol..",2024-01-08T06:10:45Z,1,
@luthfianshori5787,"Realistis apaan, prabowo itu kuno pikirannya. Pengen impor sapi 1,5 juta ekor dari India. Padahal impor dari India aja dilarang karena banyak  PMK. Ngambil referensi dari tumpeng 4 sehat 5 sempurna, PADAHAL INI PENGETAHUAN KUNO, yg benar adalah gizi seimbang.
Susah payah kemenkes mensosialisasikan program gizi seimbang, malah dirusak ama prabowo bahwa susu itu MINUMAN sempurna, padahal engga",2024-01-08T17:03:34Z,0,
@Web3-ud9fi,@@luthfianshori5787 coba dman datanya gue mau cek skrng..,2024-01-08T17:13:43Z,0,
@yuni8753,"Ehh ini emg engga ada suara atau gimana yaaa,, soalnya di aku video emg engga ada suara nya😢",2024-01-08T04:48:50Z,0,0
