author,text
@anggypriyandi2416,fakta ternyata data dari pak anies dan pak ganjar tidak bisa di bantah
@gachaskin7978,"Curiga gara² ""angin"" Di debat pertama, paslon 1 jadi personal bgt"
@wawanhadi6333,Anis kerennn
@septiansantosa2551,anis out of topic 😂 isi nya cuma nyerang 2 😂
@pro.perjuangan6214,Amin 1 🇮🇩
@bimbimaselole7769,pak anis daging semua😂
@jurnalismewarga62,"yg mau kelak nanti anaknya seperti prabowo mana suaranya...

dan yg mau kelak nanti anaknya seperti anies mana suaranya...

yg mau kelak nanti anaknya seperti prabowo mana suaranya...

dan yg mau kelak nanti anaknya seperti ganjar mana suaranya..."
@alwiyahagusalwiyah9779,"Pak Anies pemimpin yang hebat & bermartabat, sangat layak jadi presiden RI 2024.... I LOVE YOU Abah Anies....❤"
@AnandoPegi,SAMSUL mangguk2 aja emang Ngerti ? 😂😂😂
@user-kx7yt2bj6s,Prabowo Subianto 👍👍
@fitriaprianti2426,"Kalo kata saya si jgn saling menjatuhkan ntar salah satunya justru ga punya musuh akhirnya bisa nguasain panggung, fokus sama visi misi dan gagasan masing masing biar dapet respect."
@fitriaprianti2426,"Bener formasi kali ini pak ganjar ditengah biar jadi penengah kedua paslon yg satu memancing yang satu terpancing karna diungkit"" terus, kalo sebelahan takut gulet"
@zakichan74,"Oposisi ngawur, data rahasia ngr mmang prlu dirahasiakan jika mnyangkut keamanan; Anggaran Kmenhan sdh clear dg rapat komisi 1 DPR! Mmang CIA/MI6 buka data2 rahasia mrk? Tdk, Target bisa Lpas!🤦🙅🙅🙅

Prtanyaan Pak Jokowi PILPRES yg dulu beda konteksnya, mnyangkut hak kpmilikan Lahan 🇮🇩 yg sbagian bsar dikuasai hanya 1 persen orang kaya di Indonesia, makanya Presiden Jokowi brtekad & sudah optimal mnyelesaikan masalah kpemilikan tanah rakyat slama masa jabatannya, dg masif bagi2 sertifikat tanah utk rakyat🎉✌️

Mngenai 300-an H, Lahan kpmilikan Pak Kmenhan Prabowo silahkan di audit BPK-KPK-DJP, yg pntingkan Lahan tsb produktif, lancar bayar pajaknya, cth bbrp diantaranya digunakan utk pternakan, prkebunan, utk sarana pmbinaan dini sepak bola-klub GarudaYaksa milik pribadi PRABOWO, dst, sah2 saja jika diperoleh dg cara yg bnar, justru Lahan2 produktif Beliau buka byk Lapangan kerja bagi rakyat🇮🇩! 🎉✌️"
@nadyahapsgah3468,baju pak ganjar kayk mau turing motor😂❤
@kakiyu9748,Anis kenapa sih? 😅
@dedikurniawan-qh1yt,"Lah,jaman jokowi justru hadir banget di kancah international"
@shafamarwa2028,Gibran tunjukkan pesona mu di debat ke 4 ❤
@ze3264,Lucu banget pak Prabowo di akhir dikerumuni..
@mythrandir8118,"Prabowo ini mirip jokowi kalo ditanyatentang hal yg berhuhungan dengan bidangnya, sama-sama suka mengelak, bedanya kalo jokowi selalu jawab gatau nah kalo prabowo suka tbtb emosi"
@lahoshi5269,Mantaap pak aniis josss
@pubgacengendok4961,sistem cyber :: tanya johny g plate selama menjabat apa aja yg di lakukan? lupa kalau dia korupsi BTS 8Triliun 😅😅😅 bapak anis merusak partai nya sendiri wkwkwkkw
@royxmaco7638,"dan dari sini kita bisa tahu,yg mana org yg memberi pendapat dari hati dan yg mana org yg suka menyindir dan menjatuhkan org lain😂😂😂,pak Prabowo aku percaya kepadamu"
@hikayatun525,Nomor 2 pesimis dan emosian
@pubgacengendok4961,800jt cyber attack?
@muhamadroma4361,Anis ngomong apasi..wkwk
@user-hi2he2tt2h,anis banyak omong krj zonk 😂
@muhamadarif7138,"Inget kata gusdur...""org paling ikhlas untuk negara adalah prabowo..""....2 orang nyerang prabowo..nyari kesalahan...suruh jelasin tetapi di dlam forum debat ..ya ga mungkin bosss...lu liat jateng prov termiskin..jakarta amburadul ...takut bgt kalah...keliatan...sukses pak prabowo ..anda org baik....doaku buat sampean❤"
@santysan8114,Tetap yakin nomor 2❤❤❤
@roeltan,"Pak prabowo suka benar aja , itu yg suka omong2 aja😂😂😂"
@voltwatt2314,Uud hukum mati koruptor
@rickyanggaraPutra-om8nn,"Dahulukan adab dari pd ilmu...sama yg lebih tua tdk bs menempatkan sikap. Liyat bukti fisik apa yg sudah di capai dari pd hanya omong saja..air beriak tanda tak dalam memang benar kata pepatah, hanya omongsaja buktix tdk ada"
@earth5903,"Saya belum memutuskan akan pilih Prabowo atau Ganjar. Tapi Prabowo kelihatan sekali nasionalismenya yang sangat tinggi, krn semua responnya berujung pada keuntungan bangsa. Tapi Prabowo kurang bisa mengkomunikasikan strategi dan rencananya, mungkin ini krn emosinya sudah disundul di awal oleh Anies. Prabowo harus belajar komunikasi dan ketenangan dari Ganjar.

Eh kok saya ga bahas Anies ya? Anies itu siapa ya? 😂🤣"
@deonandreo9112,Smangat pak 02 ✊💪
@deonandreo9112,😂😂😂 omon omon
@nubdzatussaniyah1180,prabowo kenapa :( kaya bukan beliau
@wahyugamer2104,Aku mau ikut debat capres bisa gak min
@oniimuhammad2284,Anis bisanya omong doang
@wildanmalik1926,3:42:16
@oniimuhammad2284,Anis bisanya buang.buang anggaran doang
@oniimuhammad2284,Anis bisanya bongkar pasang doang
@oniimuhammad2284,Anis gak bisa kerja
@oniimuhammad2284,"No 1
No omdo
No plimpLan"
